itemNumber,keywords,shortDesc,longDesc,itemType,wearFlags,extraFlags,objAffFlags,Affect0,AffectModifier0,Affect1,AffectModifier1,Affect2,AffectModifier2,value0,value1,value2,value3,lightColor,lightType,lightHours,recipeCreates,recipeRequires1,recipeRequires2,recipeRequires3,aqOrderRequires1,aqOrderRequires2,aqOrderRequires3,aqOrderRequires4,maxContains,currentContains,liquidType,foodSatiation,poisoned,lockType,assignedKey,keyType,picksCurrent,picksMax,affAC,spell,spellLevel,chargesMax,chargesCurrent,weaponSpecial,weaponType,diceNumber,diceSize,damageMin,damageMax,damageAve,gunLicense,bulletsLeft,gunNumber,weight,cost,rent,treasureCoins,subclassPointValue,loadrate,boardReadLvl,boardWriteLvl,boardRemoveLvl,objTimer
29381," dessicated phalanx bone anu loon"," Dessicated Phalanx of Anu"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29380," dessicated phalanx bone anu soot"," Dessicated Phalanx of Anu"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29379," finger enlil bone boor"," Shriveled Finger of Enlil"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29378," finger enlil bone tool"," Shriveled Finger of Enlil"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29377," finger enlil bone poof"," Shriveled Finger of Enlil"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29376," finger enlil bone loon"," Shriveled Finger of Enlil"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29375," finger enlil bone soot"," Shriveled Finger of Enlil"," There is a bit of nothing sitting here.",WORN,TAKE FINGER QUESTWEAR,GLOW HUM MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,5,MANA_REGEN,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,55555,,,0,,,,
29374," gauntlet brass fist gruumsh soot"," The Brass Fist of Gruumsh"," A single spiked gauntlet was discarded here, a malevolent aura emanating from within.",ARMOR,TAKE HANDS QUESTWEAR,GLOW HUM MAGICAL LIMITED,8,DAMROLL,7,HITROLL,6,MANA_REGEN,14,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,20,66666,6666,,,10,,,,
29373," shabti shabtis pharaoh djoser boor"," Shabtis of Pharaoh Djoser"," Four shabtis lie here, secured in small pouches strung from a brilliant gold belt.",WORN,TAKE WAIST QUESTWEAR,GLOW HUM MAGICAL LIMITED,32808,DAMROLL,5,HITROLL,5,ARMOR,-20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,666666,66666,,,0,,,,
29372," shabti shabtis pharaoh djoser tool"," Shabtis of Pharaoh Djoser"," Four shabtis lie here, secured in small pouches strung from a brilliant gold belt.",WORN,TAKE WAIST QUESTWEAR,GLOW HUM MAGICAL LIMITED,32808,DAMROLL,5,HITROLL,5,ARMOR,-20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,666666,66666,,,0,,,,
29371," shabti shabtis pharaoh djoser poof"," Shabtis of Pharaoh Djoser"," Four shabtis lie here, secured in small pouches strung from a brilliant gold belt.",WORN,TAKE WAIST QUESTWEAR,GLOW HUM MAGICAL LIMITED,32808,DAMROLL,5,HITROLL,5,ARMOR,-20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,666666,66666,,,0,,,,
29370," shabti shabtis pharaoh djoser loon"," Shabtis of Pharaoh Djoser"," Four shabtis lie here, secured in small pouches strung from a brilliant gold belt.",WORN,TAKE WAIST QUESTWEAR,GLOW HUM MAGICAL LIMITED,32808,DAMROLL,5,HITROLL,5,ARMOR,-20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,666666,66666,,,0,,,,
29369," shabti shabtis pharaoh djoser soot"," Shabtis of Pharaoh Djoser"," Four shabtis lie here, secured in small pouches strung from a brilliant gold belt.",WORN,TAKE WAIST QUESTWEAR,GLOW HUM MAGICAL LIMITED,32808,DAMROLL,5,HITROLL,5,ARMOR,-20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,666666,66666,,,0,,,,
29368," signet fallen avatar boor"," Signet of a Fallen Avatar"," The signet of a once holy warrior lies here.",LIGHT,TAKE LIGHT-SOURCE QUESTWEAR,GLOW HUM MAGICAL LIMITED,36,HITROLL,2,DAMROLL,5,MANA_REGEN,15,0,0,-1,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,20000,,,20,,,,
29367," signet fallen avatar tool"," Signet of a Fallen Avatar"," The signet of a once holy warrior lies here.",LIGHT,TAKE LIGHT-SOURCE QUESTWEAR,GLOW HUM MAGICAL LIMITED,36,HITROLL,2,DAMROLL,5,MANA_REGEN,15,0,0,-1,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,20000,,,20,,,,
29366," signet fallen avatar poof"," Signet of a Fallen Avatar"," The signet of a once holy warrior lies here.",LIGHT,TAKE LIGHT-SOURCE QUESTWEAR,GLOW HUM MAGICAL LIMITED,36,HITROLL,2,DAMROLL,5,MANA_REGEN,15,0,0,-1,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,20000,,,20,,,,
29365," signet fallen avatar loon"," Signet of a Fallen Avatar"," The signet of a once holy warrior lies here.",LIGHT,TAKE LIGHT-SOURCE QUESTWEAR,GLOW HUM MAGICAL LIMITED,36,HITROLL,2,DAMROLL,5,MANA_REGEN,15,0,0,-1,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,20000,,,20,,,,
29364," signet fallen avatar soot"," Signet of a Fallen Avatar"," The signet of a once holy warrior lies here.",LIGHT,TAKE LIGHT-SOURCE QUESTWEAR,GLOW HUM MAGICAL LIMITED,36,HITROLL,2,DAMROLL,5,MANA_REGEN,15,0,0,-1,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10000,20000,,,20,,,,
29363," sharpened basilisk fang boor"," A Sharpened Basilisk Fang"," The whittled fang of a giant snake drips venom on the floor.",WEAPON,TAKE WIELD,GLOW HUM MAGICAL ANTI-WARRIOR ANTI-THIEF ANTI-CLERIC ANTI-NINJA ANTI-NOMAD ANTI-PALADIN ANTI-ANTI-PALADIN ANTI-BARD ANTI-COMMANDO LIMITED,268435456,DAMROLL,9,MANA,-100,,,0,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Pierce,2,7,11,23,17,,,,30,30000,30000,,,10,,,,
29362," sharpened basilisk fang tool"," A Sharpened Basilisk Fang"," The whittled fang of a giant snake drips venom on the floor.",WEAPON,TAKE WIELD,GLOW HUM MAGICAL ANTI-WARRIOR ANTI-THIEF ANTI-CLERIC ANTI-NINJA ANTI-NOMAD ANTI-PALADIN ANTI-ANTI-PALADIN ANTI-BARD ANTI-COMMANDO LIMITED,268435456,DAMROLL,9,MANA,-100,,,0,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Pierce,2,7,11,23,17,,,,30,30000,30000,,,10,,,,
29361," sharpened basilisk fang poof"," A Sharpened Basilisk Fang"," The whittled fang of a giant snake drips venom on the floor.",WEAPON,TAKE WIELD,GLOW HUM MAGICAL ANTI-WARRIOR ANTI-THIEF ANTI-CLERIC ANTI-NINJA ANTI-NOMAD ANTI-PALADIN ANTI-ANTI-PALADIN ANTI-BARD ANTI-COMMANDO LIMITED,268435456,DAMROLL,9,MANA,-100,,,0,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Pierce,2,7,11,23,17,,,,30,30000,30000,,,10,,,,
29360," sharpened basilisk fang loon"," A Sharpened Basilisk Fang"," The whittled fang of a giant snake drips venom on the floor.",WEAPON,TAKE WIELD,GLOW HUM MAGICAL ANTI-WARRIOR ANTI-THIEF ANTI-CLERIC ANTI-NINJA ANTI-NOMAD ANTI-PALADIN ANTI-ANTI-PALADIN ANTI-BARD ANTI-COMMANDO LIMITED,268435456,DAMROLL,9,MANA,-100,,,0,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Pierce,2,7,11,23,17,,,,30,30000,30000,,,10,,,,
29359," sharpened basilisk fang soot"," A Sharpened Basilisk Fang"," The whittled fang of a giant snake drips venom on the floor.",WEAPON,TAKE WIELD,GLOW HUM MAGICAL ANTI-WARRIOR ANTI-THIEF ANTI-CLERIC ANTI-NINJA ANTI-NOMAD ANTI-PALADIN ANTI-ANTI-PALADIN ANTI-BARD ANTI-COMMANDO LIMITED,268435456,DAMROLL,9,MANA,-100,,,0,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Pierce,2,7,11,23,17,,,,30,30000,30000,,,10,,,,
29358," enhanced titanium mesh soot"," An Enhanced Titanium Mesh"," A shimmering mesh of silver metal has been draped over a nearby shrub.",ARMOR,TAKE ABOUT QUESTWEAR,GLOW HUM DARK MAGICAL LIMITED,8,DAMROLL,5,HITROLL,3,MANA_REGEN,15,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,30,66666,6666,,,0,,,,
29357," painted hide roc boor"," The Painted Hide of a Roc"," The intricately painted skin of a giant bird lies rumpled in a corner.",ARMOR,TAKE ABOUT QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,9,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,3,4000,2000,,,4,,,,
29356," painted hide roc tool"," The Painted Hide of a Roc"," The intricately painted skin of a giant bird lies rumpled in a corner.",ARMOR,TAKE ABOUT QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,9,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,3,4000,2000,,,4,,,,
29355," painted hide roc poof"," The Painted Hide of a Roc"," The intricately painted skin of a giant bird lies rumpled in a corner.",ARMOR,TAKE ABOUT QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,9,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,3,4000,2000,,,4,,,,
29354," painted hide roc loon"," The Painted Hide of a Roc"," The intricately painted skin of a giant bird lies rumpled in a corner.",ARMOR,TAKE ABOUT QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,9,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,3,4000,2000,,,4,,,,
29353," shining peridot cufflinks boor"," Shining Peridot Cufflinks"," A fine pair of cufflinks set with a peridot shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29352," shining peridot cufflinks tool"," Shining Peridot Cufflinks"," A fine pair of cufflinks set with a peridot shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29351," shining peridot cufflinks poof"," Shining Peridot Cufflinks"," A fine pair of cufflinks set with a peridot shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29350," shining peridot cufflinks loon"," Shining Peridot Cufflinks"," A fine pair of cufflinks set with a peridot shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29349," shining peridot cufflinks soot"," Shining Peridot Cufflinks"," A fine pair of cufflinks set with a peridot shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29348," shining emerald cufflinks boor"," Shining Emerald Cufflinks"," A fine pair of cufflinks set with an emerald shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,142649360,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29347," shining emerald cufflinks tool"," Shining Emerald Cufflinks"," A fine pair of cufflinks set with an emerald shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,142649360,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29346," shining emerald cufflinks poof"," Shining Emerald Cufflinks"," A fine pair of cufflinks set with an emerald shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,142649360,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29345," shining emerald cufflinks loon"," Shining Emerald Cufflinks"," A fine pair of cufflinks set with an emerald shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,142649360,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29344," shining emerald cufflinks soot"," Shining Emerald Cufflinks"," A fine pair of cufflinks set with an emerald shines at your feet.",ARMOR,TAKE WRIST HOLD QUESTWEAR,GLOW HUM MAGICAL LIMITED,142649360,DAMROLL,5,MANA_REGEN,15,,,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,3250,120,,,50,,,,
29343," anodized chimera scale soot"," An Anodized Chimera Scale"," A metallic animal scale has been abandoned here.",ARMOR,TAKE SHIELD QUESTWEAR,GLOW HUM DARK MAGICAL LIMITED,,DAMROLL,5,HIT,200,MANA_REGEN,15,25,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,146,713262,24955,,,0,,,,
29342," thorium bulwark etched boor"," An Etched Thorium Bulwark"," An etched thorium shield lies here.",ARMOR,TAKE SHIELD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,30,12000,3000,,,15,,,,
29341," thorium bulwark etched tool"," An Etched Thorium Bulwark"," An etched thorium shield lies here.",ARMOR,TAKE SHIELD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,30,12000,3000,,,15,,,,
29340," thorium bulwark etched poof"," An Etched Thorium Bulwark"," An etched thorium shield lies here.",ARMOR,TAKE SHIELD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,30,12000,3000,,,15,,,,
29339," thorium bulwark etched loon"," An Etched Thorium Bulwark"," An etched thorium shield lies here.",ARMOR,TAKE SHIELD QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,30,12000,3000,,,15,,,,
29338," braided wolfram armband boor"," A Braided Wolfram Armband"," Braided strands of a silvery metal lie partially concealed on the ground.",ARMOR,TAKE ARMS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,10000,1000,,,10,,,,
29337," braided wolfram armband tool"," A Braided Wolfram Armband"," Braided strands of a silvery metal lie partially concealed on the ground.",ARMOR,TAKE ARMS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,10000,1000,,,10,,,,
29336," armband twisted wolfram poof"," A Twisted Wolfram Armband"," twisted strands of a slivery metal lie partially concealed on the ground.",ARMOR,TAKE ARMS QUESTWEAR,GLOW HUM DARK MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,2,MANA_REGEN,15,15,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,42,99540,21100,,,0,,,,
29335," braided wolfram armband loon"," A Braided Wolfram Armband"," Braided strands of a silvery metal lie partially concealed on the ground.",ARMOR,TAKE ARMS QUESTWEAR,GLOW HUM MAGICAL LIMITED,128,DAMROLL,5,MANA_REGEN,15,,,8,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,10000,1000,,,10,,,,
29334," armband twisted wolfram soot"," A Twisted Wolfram Armband"," twisted strands of a slivery metal lie partially concealed on the ground.",ARMOR,TAKE ARMS QUESTWEAR,GLOW HUM DARK MAGICAL LIMITED,16777216,DAMROLL,5,HITROLL,2,MANA_REGEN,15,15,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,42,99540,21100,,,0,,,,
29333," reflective silver mittens boor"," Reflective Silver Mittens"," A reflective set of silver mittens lies here.",ARMOR,TAKE HANDS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,1000000,80000,,,8,,,,
29332," reflective silver mittens tool"," Reflective Silver Mittens"," A reflective set of silver mittens lies here.",ARMOR,TAKE HANDS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,1000000,80000,,,8,,,,
29331," reflective silver mittens poof"," Reflective Silver Mittens"," A reflective set of silver mittens lies here.",ARMOR,TAKE HANDS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,1000000,80000,,,8,,,,
29330," reflective silver mittens loon"," Reflective Silver Mittens"," A reflective set of silver mittens lies here.",ARMOR,TAKE HANDS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,1000000,80000,,,8,,,,
29329," sabatons pewter boots boor"," Burnished Pewter Sabatons"," A polished set of metal boots glint dully from the floor.",ARMOR,TAKE FEET QUESTWEAR,GLOW HUM MAGICAL LIMITED,128,DAMROLL,5,HITROLL,5,MANA_REGEN,15,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,10,10,10,,,10,,,,
29328," sabatons pewter boots tool"," Burnished Pewter Sabatons"," A polished set of metal boots glint dully from the floor.",ARMOR,TAKE FEET QUESTWEAR,GLOW HUM MAGICAL LIMITED,128,DAMROLL,5,HITROLL,5,MANA_REGEN,15,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,10,10,10,,,10,,,,
29327," sabatons pewter boots poof"," Burnished Pewter Sabatons"," A polished set of metal boots glint dully from the floor.",ARMOR,TAKE FEET QUESTWEAR,GLOW HUM MAGICAL LIMITED,128,DAMROLL,5,HITROLL,5,MANA_REGEN,15,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,10,10,10,,,10,,,,
29326," sabatons pewter boots loon"," Burnished Pewter Sabatons"," A polished set of metal boots glint dully from the floor.",ARMOR,TAKE FEET QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,HITROLL,5,MANA_REGEN,15,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,10,10,10,,,10,,,,
29325," reinforced mithril cleats cleat soot"," Reinforced Mithril Cleats"," A polished set of metal boots glint dully from the floor.",ARMOR,TAKE FEET QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,HITROLL,5,MANA_REGEN,15,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,10,10,10,,,10,,,,
29324," greaves steel boor"," Cold-Forged Steel Greaves"," A sturdy pair of steel greaves have been unceremoniously abandoned here.",ARMOR,TAKE LEGS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,30000,3000,,,10,,,,
29323," greaves steel tool"," Cold-Forged Steel Greaves"," A sturdy pair of steel greaves have been unceremoniously abandoned here.",ARMOR,TAKE LEGS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,30000,3000,,,10,,,,
29322," greaves steel poof"," Cold-Forged Steel Greaves"," A sturdy pair of steel greaves have been unceremoniously abandoned here.",ARMOR,TAKE LEGS QUESTWEAR,GLOW HUM MAGICAL LIMITED,,DAMROLL,5,MANA_REGEN,15,,,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,30000,3000,,,10,,,,
