zoneName,zoneNumber,mobNumber,mobName,mobKeywords,mobShortDesc,mobLongDesc,actionFlags,affectedByFlags,mobAlignment,mobLetter,mobLevel,mobHitroll,mobArmor,mobHPDieNumber,mobHPDieSize,mobHPBaseNumber,mobHPMinValue,mobHPMaxValue,mobHPAverage,mobHPAffective,mobDamDieNumber,mobDamDieSize,mobDamBaseNumber,mobDamMinValue,mobDamMaxValue,mobDamAverage,mobDamAffective,mobHitCount,mobEXP,mobCoins,mobCoinEXP,mobTotalExp,mobExpPerEffectiveHP,mobPosition,mobDefaultPosition,mobSex,mobClass,mobImmune,NoSpecialAttackLines,attackType,attackTarget,attackPercent,attackSpell,mobHitType,mobAct2Flags,mobAffectedBy2Flags,mobImmune2Flags
"Below the Sewers, by Infinity",47,4702," a large slime covered mass"," Slime Mass Large"," A large mass of slime floats here. "," It's green and looks like a giant mound of slime. ",SCAVENGER ISNPC,SENSE-LIFE SPHERE STATUE,0,Y,45,-25,10,2,400,1500,1502,2300,1901,1901,10,2,15,25,35,30,30,1,250000,25,8,250008,131,Standing,Standing,neutral,Fungus,POISON PARALYSIS,3," SPELL CAST SPELL CAST SPELL CAST"," BUFFER BUFFER BUFFER"," 5 5 5"," poison fear chill_touch",0,,,
"Below the Sewers, by Infinity",47,4703," a voodoo doll"," Voodoo Doll"," A small doll lies here, waiting to attack an unfortunate victim. "," This evil looking thing resembles a small doll crafted to look very much like a living being.  You almost swear you recognize the face, but as soon as you almost get there, it seems to swirl and take on a new image. There are obvious stitches covering its body and its eyes seem to look right through you. ",SENTINEL ISNPC AGGMU AGGAP,DETECT-INVISIBLE SENSE-LIFE SPHERE INVUL DUAL,-500,Y,70,-35,-20,10,75,2750,2760,3500,3130,3130,2,50,25,27,125,76,98.8,1.3,525000,100000,33333,558333,178,Standing,Standing,neutral,Automaton,,4," SPELL CAST SPELL CAST SPELL CAST SPELL CAST"," BUFFER BUFFER BUFFER BUFFER"," 15 5 10 75"," chill_touch debilitate curse meteor",0,,,FEAR
"Below the Sewers, by Infinity",47,4704," A halfling zombie"," Halfling Zombie"," A zombie that looks like a halfling wanders about. "," This creature looks like an undead version of a halfling.  It is short and looks relatively weak, yet reeks of zombie flesh.  It moans occasionally and it's grey twisted flesh is only covered by some tattered rags.  It's mouth is stink. ",SCAVENGER ISNPC,SPHERE DODGE FLY DUAL,0,Y,30,-10,-5,1,500,600,601,1100,850.5,850.5,3,7,15,18,36,27,35.1,1.3,180000,25,8,180008,211,Flying,Flying,neutral,Lesser Undead,POISON CHARM BLUDGEON CRUSH,1," PUNCH"," BUFFER"," 5"," ",0,,TRIPLE,FEAR
"Below the Sewers, by Infinity",47,4705," The Paladin Leoric"," Paladin Leoric"," The faint outline of a holy knight hovers here, searching for something. "," This shining figure looks like it is searching for someone, or something. His face has an expression of pure sadness and he gazes at you, longing to ask for help, yet no words come from him mouth.  From the faint outline of his body that is visible, he looks like one of the famous paladins of Midgaard that has met his untimely demise too soon. ",SENTINEL ISNPC AGGRESSIVE MEMORY,INVISIBLE SENSE-LIFE SANCTUARY SPHERE PROTECT-EVIL DODGE PROTECT-GOOD INVUL,1000,Y,42,-20,-10,2,150,1500,1502,1800,1651,3302,20,2,90,110,130,120,120,1,600000,250000,83333,683333,206,Standing,Standing,male,Paladin,CHARM CLAIR,1," SPELL CAST"," SELF"," 3"," layhands",0,,,FEAR
"Below the Sewers, by Infinity",47,4706," a garbage golem"," Garbage Golem"," A golem made of rotting garbage rises from the floor. "," This golem is constructed from the various debris found within the sewers. It reeks of garbage and is completely silent and doesn't seem to like the fact that you stand before it.  The trash that composes its body has begun to rot and the mere thought of touching it makes you sick. ",ISNPC AGGRESSIVE,SPHERE INVUL,-250,Y,35,-15,-10,2,750,400,402,1900,1151,1151,3,40,40,43,160,101.5,101.5,1,270000,5000,1666,271666,236,Standing,Standing,neutral,Automaton,SLEEP CHARM BLUDGEON CRUSH,1," CLAW"," BUFFER"," 5"," ",0,,,FEAR
"Below the Sewers, by Infinity",47,4707," Werra the Cleric"," Cleric Werra Garbage"," A cleric is here, worshiping the god of garbage. "," This cleric is dressed in dark green robes stained with garbage and raw sewage. Her symbol appears to be to the god of garbage and she smells as bad as the rest of this place.  Upon closer inspection, her face seems rotted, almost to the point of undead texture, yet she maintains some human features, such as hair and eyelids. ",ISNPC AGGRESSIVE,SENSE-LIFE SPHERE INVUL DUAL,-1000,Y,50,-5,0,10,25,4000,4010,4250,4130,4130,10,25,40,50,290,170,221,1.3,360000,400000,133333,493333,119,Standing,Standing,female,Cleric,PUMMEL KICK PUNCH CHARM BLINDNESS,4," SPELL CAST SPELL CAST SPELL CAST SPELL CAST"," SELF BUFFER BUFFER BUFFER"," 5 10 5 5"," heal poison harm flamestrike",0,IGNORE-SPHERE,,
"Below the Sewers, by Infinity",47,4708," A toxic guardian"," Toxic Guardian"," This pile of trash reeks of toxic fumes! "," This pile of trash has been constructed to resemble a humanoid form.  It wears some basic armor and wields nothing but its fists.  Its construction reminds you of a scarecrow.  Needless to say, this fellow reeks of pure garbage. ",ISNPC AGGMU MEMORY AGGAP,SENSE-LIFE SPHERE DODGE DUAL,-100,Y,20,0,-7,1,250,1250,1251,1500,1375.5,1375.5,10,4,30,40,70,55,71.5,1.3,300000,5,1,300001,218,Standing,Standing,male,Normal,POISON,2," SPELL CAST SPELL CAST"," BUFFER BUFFER"," 10 5"," poison chill_touch",0,,,FEAR
"Brigand Camp, by Odie",21,2101," Brigand"," brigand"," A Brigand is standing here. "," The brigand is a wiry figure with a face hardened by years of living on the edge of the law. His patchy leather armor is mismatched and poorly maintained, but it bears the marks of countless skirmishes. A crooked grin reveals yellowed teeth as he sizes you up, a wickedly sharp dagger glinting in his hand. His unkempt hair and the faint smell of ale suggest a life of indulgence and desperation. Despite his disheveled appearance, his movements are quick and calculated, like a predator waiting for the perfect moment to strike. ",ISNPC STAY-ZONE MEMORY,DUAL,0,Y,55,-15,-20,55,105,15000,15055,20775,17915,17915,12,12,125,137,269,203,263.90000000000003,1.3,3200000,125000,41666,3241666,180,Standing,Standing,male,Thief,,0,,,,,0,NO-TOKEN,,
"Brigand Camp, by Odie",21,2102," Calanar"," calanar"," Calanar the Brigand Champion eyes you suspiciously. "," A towering figure of muscle and menace, Calanar is Kulzarens right hand and enforcer. His armor, a patchwork of salvaged plate and chainmail, is battered but functional, and his greatsworda brutal, jagged weaponrests against his back, its hilt wrapped in worn leather. Calanars face is a mask of stoic resolve, his piercing gaze betraying no emotion. Scars crisscross his arms and neck, each a trophy from a battle hard-fought. In combat, Calanar is relentless, his blows landing with terrifying precision and power. He fights not for glory but for loyalty to Kulzaren, and his mere presence on the battlefield inspires fear and obedience in equal measure. ",SENTINEL ISNPC STAY-ZONE MEMORY,SANCTUARY SPHERE INVUL FURY,500,Y,56,-18,-19,13,225,41332,41345,44257,42801,85602,19,25,190,209,665,437,874,1,13000000,1100000,366666,13366666,156,Standing,Standing,male,Warrior,DISINTEGRATE SUMMON,4," BASH KICK PUMMEL SPELL SKILL"," BUFFER BUFFER BUFFER RAN_GROUP"," 10 12 20 35","    headbutt",0,NO-TOKEN,,FEAR
"Brigand Camp, by Odie",21,2103," Merchant"," merchant"," A travelling merchant standing here eyeing you fondly. "," The merchant is a charismatic wanderer clad in vibrant garments adorned with trinkets from distant lands. His weathered face is framed by a bushy beard, and his bright, mischievous eyes sparkle with the promise of exotic wares. A large wagon, overflowing with goods, follows him wherever he goes, its sides painted with bold patterns. He speaks with a lilting accent, spinning tales of adventure and mystery as he showcases his wares everything from shimmering silks and rare spices to peculiar relics and enchanted baubles. His charm is infectious, and its hard to tell whether hes a cunning trader or simply a man with a love for life and the open road. ",SENTINEL ISNPC,,500,Y,40,3,-1,10,100,500,510,1500,1005,1005,10,10,2,12,102,57,57,1,180432,4000,1333,181765,180,Standing,Standing,male,Human,,0,,,,,0,,,
"Brigand Camp, by Odie",21,2104," Sadyra"," sadyra master"," Sadyra is here making strange gestures over a bubbling cauldron. "," Sadyra is a commanding figure draped in flowing robes of black and crimson, embroidered with arcane symbols that seem to writhe and shift when viewed from the corner of the eye. Her striking, pale face is framed by jet-black hair streaked with silver, and her piercing eyes glow faintly with a violet hue, betraying the immense magical power she wields. A gnarled staff topped with a dark crystal rests in her hand, pulsating with an ominous energy. The air around her is heavy with the scent of burnt herbs and the faint crackle of magical static. Sadyras voice is smooth and commanding, each word imbued with the power to compel or destroy. At her side, the spectral spirits serve as both advisors and guardians, reinforcing her aura of eldritch authority. ",SPEC SENTINEL ISNPC STAY-ZONE MEMORY,SPHERE INFRAVISION INVUL,-500,Y,58,-19,-19,11,210,35422,35433,37732,36582.5,36582.5,20,23,180,200,640,420,420,1,11250366,1200000,400000,11650366,318,Standing,Standing,female,Magic User,CHARM DISINTEGRATE,4," SPELL CAST SPELL CAST SPELL CAST SPELL CAST"," RAN_ROOM RAN_ROOM BUFFER BUFFER"," 24 24 45 36"," firebreath electric_shock vampiric_touch quick",0,,,FEAR
"Brigand Camp, by Odie",21,2105," Spirit"," spirit"," A Spirit is floating in front of you. "," These spectral beings radiate an unsettling, otherworldly presence. Their forms are semi-transparent, shimmering faintly with hues of blue and green. Their faces are obscured, as though shrouded in mist, but their hollow eyes seem to pierce through to ones very soul. Their movements are slow and deliberate, as if weighed down by the ethereal chains of their past lives. Faint whispers emanate from them, fragments of language both haunting and unintelligible. They sit silently beside Sadyra, their posture reverent yet menacing, as if awaiting her command or observing with otherworldly patience. ",SPEC SENTINEL ISNPC STAY-ZONE MEMORY,,-360,Y,55,-16,-18,55,105,15000,15055,20775,17915,17915,12,12,135,147,279,213,213,1,3400000,0,0,3400000,189,Standing,Standing,neutral,Lesser Undead,,0,,,,,0,NO-TOKEN,,
"Brigand Camp, by Odie",21,2106," Marvick The Strategist"," aide marvick"," Marvick, Kulzaren's Aide is standing here. "," He is a wiry man with a sharp tongue and a sharper mind. His ink stained fingers are always busy sketching battle plans or counting stolen coin. Though unassuming, his piercing eyes miss nothing, and his knowledge of the land makes him invaluable. ",SPEC SENTINEL ISNPC STAY-ZONE MEMORY,INFRAVISION,400,Y,55,-16,-18,55,105,15000,15055,20775,17915,17915,12,12,146,158,290,224,224,1,3400000,600000,200000,3600000,200,Standing,Standing,male,Warrior,,0,,,,,0,NO-TOKEN,,
"Brigand Camp, by Odie",21,2107," Kulzaren"," Kulzaren brigand leader master"," Kulzaren the leader of the brigand glares at you from atop his throne. "," Kulzaren exudes a commanding presence, his tall, broad-shouldered frame accentuated by a cloak of deep crimson edged with tarnished thread. His sharp, angular face is shadowed by a perpetual scowl, and a deep scar runs from his temple to his jaw, a grim reminder of his ruthless rise to power. His voice carries an air of authority, smooth yet edged with a venom that makes lesser men tremble. He wields an ornate longsword with an ebony hilt, its blade etched with faint, glowing runes. Despite his rough surroundings, Kulzarens cunning and charisma set him apart, and the air around him feels charged with the weight of his ambition. ",SPEC SENTINEL ISNPC STAY-ZONE MEMORY,SPHERE INFRAVISION DODGE,400,Y,58,-20,-19,15,190,38000,38015,40850,39432.5,39432.5,21,19,175,196,574,385,385,1,12523336,1350000,450000,12973336,329,Standing,Standing,male,Thief,CHARM DISINTEGRATE,2," SPELL SKILL SPELL SKILL"," BUFFER RAN_GROUP"," 30 30"," circle circle",0,,,FEAR
"Brigand Camp, by Odie",21,2108," Wizard"," wizard"," A Wizard is standing here. "," The wizard is an elderly figure wrapped in layers of deep blue and silver robes, each embroidered with intricate constellations and arcane glyphs. His long, snowy beard cascades down his chest, contrasting sharply with the sharp, lively glint in his piercing grey eyes. A wide brimmed hat adorned with a single raven feather rests atop his head, and a crystal topped staff is always within reach, glowing faintly with an inner light. The air around him crackles with latent energy, and the faint scent of incense clings to his robes. Despite his age, his movements are deliberate and precise, and his voice carries the weight of centuries of knowledge. His shop is a labyrinth of scrolls, tomes, and magical artifacts, all watched over by an ever present owl familiar perched on his shoulder. ",SENTINEL ISNPC,SANCTUARY INVUL,1000,Y,51,-7,-100,9,10,15000,15009,15090,15049.5,30099,4,5,30,34,50,42,42,1,66000,10000,3333,69333,2,Standing,Standing,male,Magic User,,0,,,,,0,,,
"Brigand Camp, by Odie",21,2109," Blacksmith"," blacksmith"," A Blacksmith is here welcoming you to his shop. "," The blacksmith is a burly man with arms as thick as tree trunks and a chest scarred by the stray sparks of his trade. His face is tanned and weathered, framed by a short, bristly beard flecked with soot. He wears a heavy leather apron over a simple linen shirt, both darkened by years of forge work. His voice is deep and gravelly, and his laugh, though rare, is hearty. The smithy smells of hot iron and coal, and the rhythmic clang of his hammer against anvil is a constant sound. Racks of weapons, armor, and tools line the walls, each piece a testament to his craftsmanship. Despite his gruff exterior, his sharp eyes reveal a keen mind and a quiet pride in his work. ",SENTINEL ISNPC,SANCTUARY INVUL,1000,Y,51,-7,-100,9,10,15000,15009,15090,15049.5,30099,4,5,30,34,50,42,42,1,66000,10000,3333,69333,2,Standing,Standing,male,Human,,0,,,,,0,,,
"Brigand Camp, by Odie",21,2110," the Baker"," baker"," The Baker is standing here. "," The baker is a plump, cheerful man with flour-dusted hands and a perpetual smile. His face is round and ruddy, framed by a cropped beard and a shock of unruly hair tucked beneath a well worn cap. He moves with practiced ease between the ovens and the counters, pulling trays of fresh bread, pies, and pastries that fill the air with a heavenly aroma. The bakery itself is warm and inviting, its wooden shelves laden with golden loaves and sweet confections. A faint layer of flour seems to cover everything, from the counters to the bakers apron. His hearty laugh is as welcoming as the treats he sells, and he greets each customer like an old friend. ",SENTINEL ISNPC,SANCTUARY INVUL,1000,Y,51,-7,-100,9,10,15000,15009,15090,15049.5,30099,4,5,30,34,50,42,42,1,66000,10000,3333,69333,2,Standing,Standing,male,Human,,0,,,,,0,,,
"Brigand Camp, by Odie",21,2111," Shopkeeper"," shopkeeper"," A Shopkeeper is standing here. "," The shopkeeper is a shrewd individual, always ready with a deal or a clever remark. Dressed in simple but tidy clothes, his sharp eyes and quick hands make it clear that little escapes his notice. His general store is a jumble of goods ranging from sacks of grain to bolts of fabric, with shelves creaking under the weight of a hundred small, essential items. A well-worn abacus sits on the counter, alongside a small box that clinks with coins as he deftly counts change. His voice is smooth and persuasive, and he has a knack for convincing customers that they need just one more item before they leave. ",SENTINEL ISNPC,SANCTUARY INVUL,1000,Y,51,-7,-100,9,10,15000,15009,15090,15049.5,30099,4,5,30,34,50,42,42,1,66000,10000,3333,69333,2,Standing,Standing,male,Human,,0,,,,,0,NO-TOKEN,,
"Brigand Camp, by Odie",21,2112," Brigand Guard"," brigand"," A Brigand Guard stands at his post. "," The brigand guard is a hulking brute, clearly the muscle of the operation. His armor is cobbled together from stolen chainmail and dented iron plates, giving him a rough but formidable appearance. A massive club rests across his shoulder, its surface marred with dark stains from previous battles. His scarred face is devoid of humor, and his eyes gleam with a mix of suspicion and cruelty. The air around him feels heavy with menace, and his booming voice barks commands to lesser brigands, ensuring they stay in line. He stands ready to defend his crew with ruthless efficiency, daring anyone to challenge him. ",ISNPC STAY-ZONE MEMORY,DUAL,0,Y,55,-15,-20,55,105,15000,15055,20775,17915,17915,12,12,125,137,269,203,263.90000000000003,1.3,3050000,115000,38333,3088333,172,Standing,Standing,male,Thief,,0,,,,,0,NO-TOKEN,,
"Brigand Camp, by Odie",21,2113," Vessara The Shadow"," aide vessara"," Vessara, Kulzaren's Aide is standing here. "," She is a quiet and deadly figure, clad in dark leathers that allow her to vanish into the night. Her daggers gleam with a faint, poisonous sheen, and her whispers often carry more weight than the loudest orders. Together, they ensure Kulzarens plans are carried out with precision, their loyalty born of fear as much as respect. ",SPEC SENTINEL ISNPC STAY-ZONE MEMORY,INFRAVISION,400,Y,55,-16,-18,55,105,15000,15055,20775,17915,17915,12,12,146,158,290,224,224,1,3400000,600000,200000,3600000,200,Standing,Standing,male,Warrior,,0,,,,,0,NO-TOKEN,,
"Cafe, by Jarldian",36,3610," a Bouncer"," Bouncer"," A huge bear of a man stands here with arms crossed, blocking your way. "," A huge burly man stands tall before you, eyes gazing down trying to make you feel meek.  He is the bouncer of this luxurious establishment, guarding these doors making sure the right people go in and the wrong ones don't.  So don't mess with him, he looks like he has had a very bad day. ",SENTINEL ISNPC STAY-ZONE,SENSE-LIFE SANCTUARY SPHERE INFRAVISION FURY,1000,Y,32,-12,-10,1,1,30000,30001,30001,30001,60002,10,50,90,100,590,345,690,1,10,10000,3333,3343,0,Standing,Standing,male,Human,,0,,,,,0,,,
"Cafe, by Jarldian",36,3612," A Restaurant Attendant"," Restaurant Attendant"," A Restaurant Attendant sits here diligently waiting on your next order. "," Dressed in a nicely pressed suit, this elegant looking attendant sits here casually blowing bubble gum.  She waits here impatiently for you to order something, but doesn't seen to care much because she gets paid whether or not you receive your food. ",SENTINEL ISNPC,SENSE-LIFE SPHERE INFRAVISION,1000,Y,35,-11,-10,4,4,10000,10004,10016,10010,10010,1,1,40,41,41,41,41,1,1,100,33,34,0,Standing,Standing,female,Human,,0,,,,,0,,,
"Cafe, by Jarldian",36,3613," Donald the Waiter"," donald waiter"," A waiter is here, making sure that you are enjoying your stay. "," A full suit and a pair of thick glasses droop slightly over his nose, this clean-shaven man nods as if annoyed as he swiftly walks over and cleans the tables.  He works long, hard hours -- an expression of boredom is visible on his face, making you wonder if he deserves your tip or not. ",ISNPC STAY-ZONE,,1000,Y,31,-8,0,1,2,1000,1001,1002,1001.5,1001.5,5,1,10,15,15,15,15,1,1000,1000,333,1333,1,Standing,Standing,male,Human,,0,,,,,0,,,
"Cafe, by Jarldian",36,3614," Beatrice the Waitress"," beatrice waitress"," A waitress is standing here smiling broadly. "," A bright smile beams on her cute face as she trips over her own feet. Giggling at her own bad luck, Beatrice straightens out her formal dress attire and proceeds to clean tables. ",ISNPC STAY-ZONE,,1000,Y,31,-8,0,1,2,1000,1001,1002,1001.5,1001.5,5,1,10,15,15,15,15,1,1000,1000,333,1333,1,Standing,Standing,female,Human,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8401," Aldor"," aldor warlock"," The evil Warlock Aldor is here, summoning evil. "," Aldor is an evil looking man.  Let's not make him angry. ",SPEC SENTINEL ISNPC ARM,SANCTUARY INVUL FURY,-300,Y,40,-7,0,50,6,2500,2550,2800,2675,5350,3,6,25,28,43,35.5,71,1,250000,30000,10000,260000,48,Standing,Standing,male,Magic User,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8402," A Small Wyvern"," wyvern small"," A Small Wyvern is flying here. "," The wyvern is very small so he should not cause you too much trouble. ",ISNPC STAY-ZONE,DETECT-INVISIBLE FLY SUBDUE,0,Y,10,10,0,6,8,80,86,128,107,107,2,6,2,4,14,9,9,1,9000,300,100,9100,85,Standing,Standing,neutral,Lesser Dragon,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8403," The Spirit"," spirit edrick guard"," The Spirit of Edrick's Guard is here, haunting the Castle. "," This spirit was once a mighty guard for the great king Edrick, but now it haunts the halls of this old castle. ",ISNPC AGGRESSIVE STAY-ZONE WIMPY,DETECT-INVISIBLE DUAL,0,Y,30,2,0,1,100,900,901,1000,950.5,950.5,3,6,3,6,21,13.5,17.55,1.3,100000,10000,3333,103333,108,Standing,Standing,neutral,Lesser Undead,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8404," The Old Cook"," old cook"," An Old Cook is standing here. "," She once cooked for the great Edrick, but now she is a slave of the evil Aldor. ",ISNPC STAY-ZONE ARM,INVUL FURY,300,Y,37,-5,0,3,100,9000,9003,9300,9151.5,9151.5,6,4,6,12,30,21,42,1,350000,10000,3333,353333,38,Standing,Standing,female,Human,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8405," A Rat"," rat"," A rat is here, running about the floor. "," The rat is a small brown rodent, kinda cute actually. ",ISNPC STAY-ZONE,,0,Y,10,10,0,6,8,80,86,128,107,107,2,6,2,4,14,9,9,1,9000,300,100,9100,85,Standing,Standing,neutral,Rodent,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8406," The Flying Dragon"," dragon"," A Flying Dragon is here, waiting for is master. "," This mighty dragon is the pet of the evil Aldor.  It looks very strong and powerful. ",SENTINEL ISNPC STAY-ZONE,SANCTUARY FLY DUAL FURY,1000,Y,40,-7,0,7,40,4000,4007,4280,4143.5,8287,10,6,20,30,80,55,143,1.3,300000,40000,13333,313333,37,Standing,Standing,neutral,Greater Dragon,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8407," The Animated Knight"," knight animated"," An Animated Knight is here, protecting Aldor. "," You look at the knight, only  notice it is an empty suit of armor. Aldor is truly powerful to create such a beast. ",ISNPC STAY-ZONE,DUAL,-500,Y,30,-3,0,3,20,500,503,560,531.5,531.5,2,8,2,4,18,11,14.3,1.3,65000,500,166,65166,122,Standing,Standing,neutral,Lesser Undead,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8408," The Prisoner"," prisoner"," A Prisoner of Aldor is standing here. "," This man, once a loyal follower of Edrick, is now confined to a cell by the evil Aldor. ",SENTINEL ISNPC STAY-ZONE,,0,Y,10,10,0,10,10,100,110,200,155,155,2,6,4,6,16,11,11,1,9000,3000,1000,10000,64,Standing,Standing,male,Human,,0,,,,,0,,,
"Castle of Cantlin, by Ankh",84,8409," The Priestess of Aldor"," priestess"," A Priestess is here making offerings for Aldor. "," This young girl was once a follower of Edrick, but now Aldor has her making offerings to him as the price of her continuing existence. ",SENTINEL ISNPC STAY-ZONE,SANCTUARY DUAL FURY,0,Y,23,1,0,9,10,1000,1009,1090,1049.5,2099,2,6,10,12,22,17,44.2,1.3,95000,1000,333,95333,45,Standing,Standing,female,Human,,0,,,,,0,,,
